,timestamp,count,provider
7022,1585382978.0,0,gcp
7023,1586312877.0,1,gcp
7024,1586313777.0,0,gcp
7025,1586314677.0,0,gcp
7026,1586315577.0,0,gcp
7027,1586316477.0,0,gcp
7028,1586317377.0,0,gcp
7029,1586318277.0,0,gcp
7030,1586319177.0,2,gcp
7031,1586320077.0,1,gcp
7032,1586320977.0,0,gcp
7033,1586321877.0,0,gcp
7034,1586322777.0,0,gcp
7035,1586323677.0,0,gcp
7036,1586324577.0,0,gcp
7037,1586325477.0,0,gcp
7038,1586326377.0,2,gcp
7039,1586327277.0,0,gcp
7040,1586328177.0,0,gcp
7041,1586329077.0,0,gcp
7042,1586329977.0,0,gcp
7043,1586330877.0,1,gcp
7044,1586331777.0,0,gcp
7045,1586332677.0,0,gcp
7046,1586333577.0,0,gcp
7047,1586334477.0,0,gcp
7048,1586335377.0,0,gcp
7049,1586336277.0,0,gcp
7050,1586337177.0,0,gcp
7051,1586338077.0,0,gcp
7052,1586338977.0,0,gcp
7053,1586339877.0,0,gcp
7054,1586340777.0,0,gcp
7055,1586341677.0,0,gcp
7056,1586342577.0,0,gcp
7057,1586343477.0,0,gcp
7058,1586344377.0,0,gcp
7059,1586345277.0,0,gcp
7060,1586346177.0,0,gcp
7061,1586347077.0,0,gcp
7062,1586347977.0,2,gcp
7063,1586348877.0,0,gcp
7064,1586349777.0,0,gcp
7065,1586350677.0,0,gcp
7066,1586351577.0,0,gcp
7067,1586352477.0,0,gcp
7068,1586353377.0,1,gcp
7069,1586354277.0,0,gcp
7070,1586355177.0,1,gcp
7071,1586356077.0,31,gcp
7072,1586356977.0,96,gcp
7073,1586357877.0,217,gcp
7074,1586358777.0,167,gcp
7075,1586359677.0,51,gcp
7076,1586360577.0,38,gcp
7077,1586361477.0,29,gcp
7078,1586362377.0,24,gcp
7079,1586363277.0,12,gcp
7080,1586364177.0,19,gcp
7081,1586365077.0,7,gcp
7082,1586365977.0,8,gcp
7083,1586366877.0,5,gcp
7084,1586367777.0,6,gcp
7085,1586368677.0,6,gcp
7086,1586369577.0,5,gcp
7087,1586370477.0,10,gcp
7088,1586371377.0,2,gcp
7089,1586372277.0,1,gcp
7090,1586373177.0,2,gcp
7091,1586374077.0,6,gcp
7092,1586374977.0,8,gcp
7093,1586375877.0,2,gcp
7094,1586376777.0,2,gcp
7095,1586377677.0,5,gcp
7096,1586378577.0,2,gcp
7097,1586379477.0,1,gcp
7098,1586380377.0,2,gcp
7099,1586381277.0,0,gcp
7100,1586382177.0,1,gcp
7101,1586383077.0,3,gcp
7102,1586383977.0,5,gcp
7103,1586384877.0,1,gcp
7104,1586385777.0,1,gcp
7105,1586386677.0,0,gcp
7106,1586387577.0,0,gcp
7107,1586388477.0,0,gcp
7108,1586389377.0,0,gcp
7109,1586390277.0,0,gcp
7110,1586391177.0,1,gcp
7111,1586392077.0,1,gcp
7112,1586392977.0,2,gcp
7113,1586393877.0,0,gcp
7114,1586394777.0,3,gcp
7115,1586395677.0,0,gcp
7116,1586396577.0,0,gcp
7117,1586397477.0,1,gcp
7118,1586933290.0,0,azure
7119,1586934190.0,0,azure
7120,1586935090.0,0,azure
7121,1586935990.0,0,azure
7122,1586936890.0,1,azure
7123,1586937790.0,0,azure
7124,1586938690.0,1,azure
7125,1586939590.0,0,azure
7126,1586940490.0,0,azure
7127,1586941390.0,0,azure
7128,1586942290.0,0,azure
7129,1586943190.0,0,azure
7130,1586944090.0,1,azure
7131,1586944990.0,0,azure
7132,1586945890.0,0,azure
